Element, data.x, data.y, data.z, data.w
0,  0.00,  0.00,  4.20390E-45,  NaN
1, -6.50229,  0.00,  0.00,  0.00
2,  9.50,  7.25,  9.50,  0.00
3,  1.00,  0.00,  8.40779E-45,  8.40779E-45
4, -6.50229,  6.75,  2.89783,  0.00
5, -6.00229,  7.25,  3.39783,  0.00
6,  0.00,  0.00,  1.26117E-44,  NaN
7,  0.00,  0.00,  0.00,  0.00
8,  9.50,  0.00,  9.50,  0.00
9,  0.00,  0.00,  1.68156E-44,  3.27904E-43
10,  0.00,  0.00,  0.00,  0.00
11,  0.50,  0.00,  9.50,  0.00
12,  0.00,  0.00,  2.10195E-44,  1.72360E-43
13,  0.00,  0.00,  0.00,  0.00
14,  0.50,  0.00,  9.50,  0.00
15,  0.00,  0.00,  2.52234E-44,  1.00893E-43
16,  0.00,  0.00,  0.00,  0.00
17,  0.50,  0.00,  9.50,  0.00
18,  0.00,  0.00,  2.94273E-44,  6.30584E-44
19,  0.00,  0.00,  0.00,  0.00
20,  0.50,  0.00,  8.50,  0.00
21,  0.00,  0.00,  3.36312E-44,  5.04467E-44
22,  0.00,  0.00,  0.00,  0.00
23,  0.50,  0.00,  8.50,  0.00
24,  0.00,  0.00,  3.78351E-44,  4.62428E-44
25,  0.00,  0.00,  0.00,  0.00
26,  0.50,  0.00,  8.50,  0.00
27,  1.00,  1.40130E-45,  4.20390E-44,  4.20390E-44
28,  0.00,  0.00,  0.00,  0.00
29,  0.50,  0.00,  0.50,  0.00
30,  1.00,  8.53391E-43,  4.62428E-44,  4.62428E-44
31,  0.00,  0.00,  8.00,  0.00
32,  0.50,  0.00,  8.50,  0.00
33,  1.00,  4.27396E-43,  5.04467E-44,  5.04467E-44
34,  0.00,  0.00,  4.00,  0.00
35,  0.50,  0.00,  4.50,  0.00
36,  0.00,  0.00,  5.46506E-44,  6.30584E-44
37,  0.00,  0.00,  2.00,  0.00
38,  0.50,  0.00,  6.50,  0.00
39,  1.00,  2.14399E-43,  5.88545E-44,  5.88545E-44
40,  0.00,  0.00,  2.00,  0.00
41,  0.50,  0.00,  2.50,  0.00
42,  1.00,  6.40393E-43,  6.30584E-44,  6.30584E-44
43,  0.00,  0.00,  6.00,  0.00
44,  0.50,  0.00,  6.50,  0.00
45,  0.00,  0.00,  6.72623E-44,  1.00893E-43
46,  0.00,  0.00,  1.00,  0.00
47,  0.50,  0.00,  9.50,  0.00
48,  0.00,  0.00,  7.14662E-44,  8.82818E-44
49,  0.00,  0.00,  1.00,  0.00
50,  0.50,  0.00,  9.50,  0.00
51,  0.00,  0.00,  7.56701E-44,  8.40779E-44
52,  0.00,  0.00,  1.00,  0.00
53,  0.50,  0.00,  9.50,  0.00
54,  1.00,  1.07900E-43,  7.98740E-44,  7.98740E-44
55,  0.00,  0.00,  1.00,  0.00
56,  0.50,  0.00,  1.50,  0.00
57,  1.00,  9.59889E-43,  8.40779E-44,  8.40779E-44
58,  0.00,  0.00,  9.00,  0.00
59,  0.50,  0.00,  9.50,  0.00
60,  1.00,  5.33895E-43,  8.82818E-44,  8.82818E-44
61,  0.00,  0.00,  5.00,  0.00
62,  0.50,  0.00,  5.50,  0.00
63,  0.00,  0.00,  9.24857E-44,  1.00893E-43
64,  0.00,  0.00,  3.00,  0.00
65,  0.50,  0.00,  7.50,  0.00
66,  1.00,  3.20897E-43,  9.66896E-44,  9.66896E-44
67,  0.00,  0.00,  3.00,  0.00
68,  0.50,  0.00,  3.50,  0.00
69,  1.00,  7.46892E-43,  1.00893E-43,  1.00893E-43
70,  0.00,  0.00,  7.00,  0.00
71,  0.50,  0.00,  7.50,  0.00
72,  0.00,  0.00,  1.05097E-43,  1.72360E-43
73,  0.00,  0.00,  0.50,  0.00
74,  0.50,  0.00,  9.00,  0.00
75,  0.00,  0.00,  1.09301E-43,  1.42932E-43
76,  0.00,  0.00,  0.50,  0.00
77,  0.50,  0.00,  9.00,  0.00
78,  0.00,  0.00,  1.13505E-43,  1.30321E-43
79,  0.00,  0.00,  0.50,  0.00
80,  0.50,  0.00,  9.00,  0.00
81,  0.00,  0.00,  1.17709E-43,  1.26117E-43
82,  0.00,  0.00,  0.50,  0.00
83,  0.50,  0.00,  9.00,  0.00
84,  1.00,  5.46506E-44,  1.21913E-43,  1.21913E-43
85,  0.00,  0.00,  0.50,  0.00
86,  0.50,  0.00,  1.00,  0.00
87,  1.00,  9.06640E-43,  1.26117E-43,  1.26117E-43
88,  0.00,  0.00,  8.50,  0.00
89,  0.50,  0.00,  9.00,  0.00
90,  1.00,  4.80645E-43,  1.30321E-43,  1.30321E-43
91,  0.00,  0.00,  4.50,  0.00
92,  0.50,  0.00,  5.00,  0.00
93,  0.00,  0.00,  1.34525E-43,  1.42932E-43
94,  0.00,  0.00,  2.50,  0.00
95,  0.50,  0.00,  7.00,  0.00
96,  1.00,  2.67648E-43,  1.38729E-43,  1.38729E-43
97,  0.00,  0.00,  2.50,  0.00
98,  0.50,  0.00,  3.00,  0.00
99,  1.00,  6.93643E-43,  1.42932E-43,  1.42932E-43
100,  0.00,  0.00,  6.50,  0.00
101,  0.50,  0.00,  7.00,  0.00
102,  0.00,  0.00,  1.47136E-43,  1.72360E-43
103,  0.00,  0.00,  1.50,  0.00
104,  0.50,  0.00,  8.00,  0.00
105,  0.00,  0.00,  1.51340E-43,  1.59748E-43
106,  0.00,  0.00,  1.50,  0.00
107,  0.50,  0.00,  6.00,  0.00
108,  1.00,  1.61149E-43,  1.55544E-43,  1.55544E-43
109,  0.00,  0.00,  1.50,  0.00
110,  0.50,  0.00,  2.00,  0.00
111,  1.00,  5.87144E-43,  1.59748E-43,  1.59748E-43
112,  0.00,  0.00,  5.50,  0.00
113,  0.50,  0.00,  6.00,  0.00
114,  0.00,  0.00,  1.63952E-43,  1.72360E-43
115,  0.00,  0.00,  3.50,  0.00
116,  0.50,  0.00,  8.00,  0.00
117,  1.00,  3.74147E-43,  1.68156E-43,  1.68156E-43
118,  0.00,  0.00,  3.50,  0.00
119,  0.50,  0.00,  4.00,  0.00
120,  1.00,  8.00141E-43,  1.72360E-43,  1.72360E-43
121,  0.00,  0.00,  7.50,  0.00
122,  0.50,  0.00,  8.00,  0.00
123,  0.00,  0.00,  1.76564E-43,  3.27904E-43
124,  0.00,  0.00,  0.00,  0.00
125,  0.50,  0.00,  9.50,  0.00
126,  0.00,  0.00,  1.80768E-43,  2.56438E-43
127,  0.00,  0.00,  0.00,  0.00
128,  0.50,  0.00,  9.50,  0.00
129,  0.00,  0.00,  1.84971E-43,  2.18603E-43
130,  0.00,  0.00,  0.00,  0.00
131,  0.50,  0.00,  8.50,  0.00
132,  0.00,  0.00,  1.89175E-43,  2.05991E-43
133,  0.00,  0.00,  0.00,  0.00
134,  0.50,  0.00,  8.50,  0.00
135,  0.00,  0.00,  1.93379E-43,  2.01787E-43
136,  0.00,  0.00,  0.00,  0.00
137,  0.50,  0.00,  8.50,  0.00
138,  1.00,  2.80260E-45,  1.97583E-43,  1.97583E-43
139,  0.00,  0.00,  0.00,  0.00
140,  0.50,  0.00,  0.50,  0.00
141,  1.00,  8.54792E-43,  2.01787E-43,  2.01787E-43
142,  0.00,  0.00,  8.00,  0.00
143,  0.50,  0.00,  8.50,  0.00
144,  1.00,  4.28797E-43,  2.05991E-43,  2.05991E-43
145,  0.00,  0.00,  4.00,  0.00
146,  0.50,  0.00,  4.50,  0.00
147,  0.00,  0.00,  2.10195E-43,  2.18603E-43
148,  0.00,  0.00,  2.00,  0.00
149,  0.50,  0.00,  6.50,  0.00
150,  1.00,  2.15800E-43,  2.14399E-43,  2.14399E-43
151,  0.00,  0.00,  2.00,  0.00
152,  0.50,  0.00,  2.50,  0.00
153,  1.00,  6.41795E-43,  2.18603E-43,  2.18603E-43
154,  0.00,  0.00,  6.00,  0.00
155,  0.50,  0.00,  6.50,  0.00
